query,rewritten,source,noisy_query
what do chromosomes look like in bacteria,"What is the structure (appearance, morphology) of bacterial chromosomes (genetic material, DNA)?",ms_marco,what do chromosomes look liek in bacteria
what are chromosomes kid definition,"What is a kid's definition of chromosomes (genetic material, DNA)?",ms_marco,wha are chromosomes kid definition
who coined the term aerobics and in what year,"Who coined the term ""aerobics"" (exercise, physical fitness) and in what year did they introduce (create, invent) it?",,who coined the term aerpbics and in what year
"What is the proposed change to the parental leave payments scheme by the Coalition's small business spokesman, Mr Billson?","What are the proposed amendments (changes, reforms) to the parental leave payment scheme by the Coalition's small business spokesperson, Mr Billson?",,"What is te proposed change to the parental leave payments scheme by the Coalition's small busines pokesman, Mr Billson?"
What is Sean Kane's educational background?,"What is Sean Kane's academic history (education, qualifications, credentials)?",,What is Sean Kane's eductional bcakground?
What is the concern of the Savannah Tree Foundation regarding the new law school's parking lot?,"What are the concerns (issues, worries) of the Savannah Tree Foundation regarding the new law school's parking lot development (construction, infrastructure)?",,Whatis the concern of the Savannah Tree Foundation regarding the new law school's parking lot?
name the animal from which we get wool,"What is the name of the animal (creature, beast) that provides us with wool (fleece, yarn)?",natural_questions,name the animal frm wjich weget woo
what is keg coupler,"What is a keg coupler (tap, valve, connector) and how does it work?",ms_marco,wgat is ke gcoupler
What are the functions of the KitchenAid Mixer attachment pack?,"What are the features (capabilities, roles) of the KitchenAid Mixer accessory (attachment, add-on) bundle (pack, set)?",,What are the functions of the KitchenAid Mixer attachment pack?
where is uc santa barbara located,"What is the location (address, site) of UC Santa Barbara (University of California, UCSB)?",ms_marco,where is uc santa barbara located
what is mitochondrial disease symptoms,"What are the symptoms (signs, indicators) of mitochondrial disease (mitochondrial disorder, mitochondriopathy)?",ms_marco,what is mitochondrial disease symptoms
liable definition law,"What is the legal definition (interpretation, explanation) of liable (responsible, accountable) in law (legislation, jurisprudence)?",ms_marco,liable definitin law
what language do people from iceland speak,"What language (tongue, dialect) do people from Iceland speak, specifically Icelandic (native, national)?",ms_marco,what language do people from iceland speak
What is the author struggling with?,"What challenges (struggles, difficulties) is the writer (author, novelist) facing (experiencing, encountering)?",,What is the author stughling with?
wii fit u vs wii fit plus difference,What are the differences between Wii Fit U and Wii Fit Plus?,natural_questions,wii fit u vs wii fit plus difference
who sang if you like pina coladas lyrics,"Who sang the song with the lyrics ""If you like Pina Coladas"" (performed, artist)?",natural_questions,who sang if you like ipna coladas lyrics
who are the freedom riders and what are they trying to accomplish,"Who were the Freedom Riders and what were their goals (objectives, aims) in the Civil Rights Movement?",natural_questions,who are the freedom riders and what are they trying to accomplish
best method to cook a sirloin tip steak,"What is the optimal technique (method, approach) to cook a sirloin tip steak, considering factors like tenderness (juiciness) and flavor (taste)?",ms_marco,best method to cook a sirloin ipsteak
"What is the legal status of prostitution in Hamilton, Canada?","What is the legal status (legality, laws) of prostitution (sex work, sex trade) in Hamilton, Ontario, Canada?",,"What is the legql status of prostotution in Hamilton, Canada?"
What is the purpose of the report compiled by the Pakistan Federal Union of Journalists (PFUJ) in 2015?,"What is the objective (goal, aim) of the report compiled by the Pakistan Federal Union of Journalists (PFUJ) in 2015 regarding (concerning, about) the state (condition, situation) of journalism (press, media) in Pakistan?",,Wjst is the puro[se o fte report cimpeild b ythe PakistanF ederal Uniono f Journalists (PFUJ) in 2051?
are mcdonald's chicken nuggets made with real chicken,"Are McDonald's chicken nuggets composed of authentic (genuine, natural) chicken meat (poultry, fowl)?",ms_marco,are mcdonal's chicken nugges made with real chicken
when is peter pan introduced in once upon a time,"In what season (episode) is Peter Pan's character introduced in the TV show ""Once Upon a Time""?",natural_questions,when isp eter pan introduced in once upon a tme
what are rare eye colors,"What are the rarest (uncommon, unusual) eye colors (iris shades, ocular hues)?",ms_marco,whst are raee eye cplors
what is the concept of no child left behind,"What is the concept of No Child Left Behind (educational policy, NCLB), and how does it impact (influence, affect) student learning (education, academic achievement)?",natural_questions,what is the concept of no child left behind
when do we vote for mid term elections,"When do the midterm elections (congressional elections, polls) take place in the United States (US, America)?",natural_questions,when do we vote for mid term elections
why are there robot animals in horizon zero dawn,"What are the reasons (purposes, explanations) behind the existence of robotic (mechanical, artificial) animals in Horizon Zero Dawn?",natural_questions,why are there robot animals in horizon zero dawn
Who visited the ravaged homes in East Haven after Tropical Storm Irene and promised federal help to cover some of the costs?,"Who visited the devastated (ravaged, damaged) homes in East Haven after Tropical Storm Irene and promised federal assistance (aid, support) to cover some of the expenses (costs, expenditures)?",,Who visited the ravaged homes n East Haven after Tropical Storm Irene and promised federal help to cover some of the costs?
"Who was the host of the syndicated radio program ""On the Radio"" from 1985 until 1992?","What was the name of the presenter (host, anchor) of the syndicated radio show ""On the Radio"" from 1985 to 1992?",,"Who was the host of the syndicated radio program ""On the Radoo"" from 1985 until 192?"
autoimmune diseases that affect the lungs,"What autoimmune disorders (conditions, illnesses) affect the lungs (respiratory system, pulmonary organs)?",ms_marco,autoimmune diseases that affect the lung
who tried to kill julie in desperate housewives,"Who attempted to murder (kill, assassinate) Julie Mayer in the TV show Desperate Housewives?",natural_questions,who tried to kill julie in desperate housewives
what do therapeutic antibodies do,"What do therapeutic antibodies (medicinal antibodies, immunotherapy) accomplish (function, purpose)?",ms_marco,whatdo therspeiric qntibodes do
What are the three groups of people the author is losing tolerance for?,"What are the three categories (classes, types) of individuals the author is becoming increasingly intolerant (impatient, frustrated) of?",,What are the threegroups of people the author is losing tolerance for?
UNF average tuition,"What is the average tuition (cost, fees) at the University of North Florida (UNF)?",ms_marco,UNF acerag wtuition
how many episodes are there in who are you school 2015,"How many episodes are there in the 2015 South Korean television series ""Who Are You: School 2015""?",natural_questions,how many episodes are there in who are you school 2015
nosql sharding definition,"What is the definition of sharding (data partitioning, horizontal partitioning) in NoSQL (non-relational, distributed) databases?",ms_marco,nosql sharding definition
is peanut butter good for dogs to eat,"Is peanut butter (nut butter) a healthy (safe, nutritious) food for dogs to consume (eat, ingest)?",ms_marco,is peanut butter good for dogs to eay
who does captain america fight on the ship,"Who does Captain America battle (fight, combat) against on the Helicarrier (ship, vessel)?",natural_questions,who odes captan america fight on th eship
how much flax seeds to consume daily,"What is the recommended daily intake (dosage, amount) of flaxseeds (linseeds) for optimal health benefits?",ms_marco,how much flax seeds to consume daily
when does sarah go to prison in prison break,"In what season (episode) of Prison Break does Sarah go to jail (incarceration, imprisonment)?",natural_questions,when does saarh go to prispn in prison brwal
"What is Google's vision for the Internet according to Vic Gundotra, engineering VP at Google?","What is Google's vision (mission, strategy) for the Internet according to Vic Gundotra, engineering VP (vice president, executive) at Google?",,"What is Google's vision for the Internet according to Vic Gundotra, engineering VP at Google?"
what type of government is a totalitarian dictatorship,"What type of regime is a totalitarian (authoritarian, autocratic) dictatorship (autocracy, oppressive government)?",natural_questions,what yype of govwrnment is at toalitarian dictatorship
What is the recommended first aid procedure after a snakebite?,"What is the standard emergency response (first aid, medical treatment) protocol following a snake bite (venomous attack, serpent attack)?",,What is the recommended fisrt aid procedr after a snakebite?
what is the difference between assassin's creed 3 and liberation,What are the key differences between Assassin's Creed 3 and Liberation (AC3 vs AC: Liberation)?,natural_questions,what is the difference between assassin's creed 3 and liberation
when did the us drop bombs on hiroshima and nagasaki,What are the dates (timeline) of the US atomic bombings (nuclear attacks) of Hiroshima and Nagasaki?,natural_questions,when did the us drop bombs on hiroshima and nagasaki
when was the roman colosseum built and finished,"What is the construction (building) timeline of the Roman Colosseum, including its start and completion (finish) dates?",natural_questions,when was the roman colosseum built and finished
where do portuguese man of war jellyfish live,"What are the habitats (environments, territories) of Portuguese man-of-war jellyfish?",,qhere do oortugyeae man og war jelyfidj ive
what's the difference between marksman and sniper bf1,"What is the distinction (difference, contrast) between a marksman and a sniper in Battlefield 1 (BF1)?",natural_questions,what's the difference between marksman and sniper bf1
where do all the elder scrolls games take place,"In what locations (settings, worlds) do all the Elder Scrolls games take place (occur, happen)?",natural_questions,where do all the elder scrolls games take place
cost install bathtub tile,"What is the expense (cost, price) of installing a bathtub with tile (ceramic, porcelain) surround?",ms_marco,cost install bathtub tile
what happened at the end of iron man 2,"What is the plot conclusion (ending, finale) of Iron Man 2?",natural_questions,what happened at the end of iron man 2
what role does the fda play in the regulation of the nation's food supply,"What role does the FDA (Food and Drug Administration) play in the oversight (supervision, regulation) of the nation's food (culinary, edible) supply (provisions, inventory)?",ms_marco,what role does the fda play in the regulation of the nation's food supply
"What is the ""fine-grained urbanism"" concept proposed by urbanist Andrew Price in the context of Long Beach's development?","What is the concept of ""fine-grained urban planning"" (intricate, detailed urban design) proposed by urbanist Andrew Price in the context of Long Beach's urban development (growth, revitalization)?",,"Whatis the ""fine-grained urbanism"" concept proposed by urbanist Andrew Price in the context of Long Beachs development?"
What is the base engine of the 2019 Chevrolet Corvette?,"What is the standard (base, default) powertrain (engine, motor) of the 2019 Chevrolet Corvette?",,What us the bqse engine od the 2019Chevrolet Corvette?
where was the first oil well drilled in oklahoma,"What is the location (site, position) of the first oil well drilled in Oklahoma, and what was its exact spot (place, area)?",natural_questions,where was the fitst oil well drilked in oklahoma
how many times has the nba finals mvp been on the losing team,How many times has the NBA Finals MVP award been given to a player from the defeated (losing) team?,natural_questions,how many times has the nba finals mvpbeen on the losing team
what does a dna sequencer do,"What does a DNA sequencer (genetic analyzer) do: explain the function (purpose, role) of a DNA sequencer in genetics (molecular biology)?",ms_marco,what does a dna sequncer do
when did all about that base come out,"When was ""All About That Bass"" (song, single, hit) by Meghan Trainor released?",natural_questions,whendid all anoutthat base come out
how many cylinders does a bugatti veyron super sport have,What is the cylinder count (number of cylinders) of a Bugatti Veyron Super Sport engine?,natural_questions,how many cyliders doe a bugattieyron super sport have
is the book of mark in the new testament,"Is the Gospel of Mark (scripture, biblical text) part of the New Testament (Christian scripture, holy book)?",,is the book of mark in h new eamebt
"What are the normal ranges for pH, pCO2, Sodium, and Potassium in arterial blood results?","What are the normal values (ranges, levels) for pH, pCO2, Sodium, and Potassium in arterial blood gas (ABG) test results?",,"What are the normal ranges for pH, pCO2, Sodium, and Potassium in arterial blood results?"
who do you kill in god of war 4,"Who are the main enemies (adversaries, foes) to defeat in God of War 4 (God of War IV, GoW 4)?",natural_questions,who do you kill in god of war 4
is loch ness landlocked,"Is Loch Ness a landlocked (inland, freshwater) lake?",ms_marco,is loch ness landlocked
how sharper than a serpent's tooth it is to have a thankless child,"What is the pain (anguish, heartache) of having an ungrateful (unappreciative, ingrate) child, as stated in the quote ""how sharper than a serpent's tooth it is to have a thankless child""?",natural_questions,how sharpe than a serpent's tooth it s ti have a thankless child
What is the primary use of Bicalutamide 150mg film-coated tablets?,"What is the main purpose (primary use, indication) of Bicalutamide 150mg film-coated tablets (medication, pills)?",,What is the primary use of Bicalutamide 150mg film-coated tablets?
what did the canadian pacific railway symbolize,"What did the Canadian Pacific Railway (CPR) represent (symbolize, signify, embody) in Canadian history and identity?",ms_marco,what did the canadan pacific railway symbolize
What is the role of the leader and the sweeper in the Drop-Off System for group rides?,"What are the responsibilities (functions, duties) of the leader and the sweeper (trailblazer, rearguard) in the Drop-Off System for group cycling (biking, ride-sharing) events?",,What us the eole of the leader and the sweeper in the Drop-Off System for group rides?
gas heating system vs electric,"What are the advantages and disadvantages of gas (natural gas, propane) heating systems compared to electric heating systems?",ms_marco,gas heating system vs electric
Who are the three players looking to impress offensive co-ordinator Gary Crowton?,Which three players are trying to make a good impression on offensive coordinator Gary Crowton?,,Who are the three players looking to impress offensive co-ordinator Gary Crowton?
what is the american indian name for mount rushmore,"What is the Native American (indigenous, Aboriginal) name for Mount Rushmore?",natural_questions,what is the american indian name for mount rushmore
explain why the food chain is represented as a pyramid,"What is the reasoning (explanation, justification) behind depicting the food chain as a pyramid structure (shape, diagram)?",ms_marco,explain why the food chain is represented as s pyramid
who plays the role of hermione granger in harry potter,"Who portrays (plays, acts) the character of Hermione Granger in the Harry Potter film series?",,wh plays the role fo hermione granger in harry potter
What are the four main laboratories in the Academy?,"What are the primary (main, key) research laboratories in the Academy?",,What are the four main laboratories in the Academy?
what grades are needed to become a pilot,"What are the required academic grades (marks, scores) to become a licensed airplane pilot (aviator, flight officer)?",ms_marco,what grades are needed to become a pilot
